Key,Source,Context,Example,en
DLG.RADIO.PARTIDO.01,¡Hoy hay partido en el {estadio}! Los autobuses especiales salen desde el Centro.,16. Leo Sanz — Radio Valmar · Día de partido,{estadio}=Estadio Altamar,
DLG.RADIO.INCENDIO.01,Última hora: los bomberos de {zona} han apagado un incendio en tiempo récord. ¡Sin heridos!,16. Leo Sanz — Radio Valmar · Emergencia resuelta,{zona}=San Roque,
DLG.RADIO.GRADUA.01,"Enhorabuena a {nombre}, que hoy se gradúa en {titulo}. ¡Valmar tiene talento!",16. Leo Sanz — Radio Valmar · Logro de jugador,"{nombre}=Lucía, {titulo}=Medicina",
DLG.RADIO.NEGOCIO.01,Nuevo en {zona}: abre sus puertas {negocio}. ¡Pasad a saludar!,16. Leo Sanz — Radio Valmar · Apertura,"{zona}=San Roque, {negocio}=Café del Valle",
DLG.RADIO.PROYECTO.01,El proyecto {proyecto} va por el {porcentaje} por ciento. ¡Entre todos lo conseguimos!,16. Leo Sanz — Radio Valmar · Proyecto de ciudad,"{proyecto}=Encender el Faro, {porcentaje}=73",
DLG.RADIO.NOCHE.01,"Buenas noches, Valmar. Mañana más, y mejor.",16. Leo Sanz — Radio Valmar · Por la noche,,
DLG.INES.PROYECTO.01,"¡Vecinos y vecinas! Valmar cumple doscientos años, y quiero que lo celebremos creciendo.",17. Inés Valcárcel — La alcaldesa · Inés,,
DLG.INES.PROYECTO.02,"El primer proyecto: volver a encender el Faro de la Punta. Cada turno, cada clase, cada ayuda cuenta.",17. Inés Valcárcel — La alcaldesa · Inés,,
DLG.INES.PROYECTO.03,¡Lo hemos conseguido! Hoy Valmar es un poco mejor que ayer… y mañana lo será todavía más.,17. Inés Valcárcel — La alcaldesa · Inés,,
DLG.INES.LLAVES.01,"Por su trabajo por esta ciudad, entrego las Llaves de Valmar a… ¡{nombre}!",17. Inés Valcárcel — La alcaldesa · Inés,{nombre}=Lucía,
DLG.INES.SALUDO.01,"¡Anda! Si es {nombre}. Cuando necesito a alguien de confianza, siempre pienso en ti.",17. Inés Valcárcel — La alcaldesa · Inés,{nombre}=Lucía,
DLG.OLMEDO.CANTERA.01,El talento gana partidos. El equipo gana ligas. ¿Tú qué quieres ganar?,18. Míster Olmedo e Irene Vidal — Fútbol · Olmedo,,
DLG.OLMEDO.ENTRENO.01,¡Esa pierna izquierda! No es de adorno.,18. Míster Olmedo e Irene Vidal — Fútbol · Olmedo,,
DLG.OLMEDO.DERBI.01,Partido a partido… pero este partido es EL partido.,18. Míster Olmedo e Irene Vidal — Fútbol · Olmedo,,
DLG.IRENE.CANTERA.01,Los Búhos no corren más. Piensan antes.,18. Míster Olmedo e Irene Vidal — Fútbol · Irene,,
DLG.IRENE.DERBI.01,Olmedo trae su bufanda de la suerte. Nosotros traemos un plan.,18. Míster Olmedo e Irene Vidal — Fútbol · Irene,,
DLG.NICO.PARQUE.01,"¡Hola! ¿Hacemos un castillo? El mío siempre se cae, pero mola igual.","19. Tu generación: Nico, Sara y Omar · Nico",,
DLG.NICO.BICI.01,¡Te echo una carrera hasta el pino gigante! ¡El último es un huevo pasado!,"19. Tu generación: Nico, Sara y Omar · Nico",,
DLG.NICO.SUENO.01,"Yo de mayor seré bombero. Como la jefa Nuria. ¡Nino, nino!","19. Tu generación: Nico, Sara y Omar · Nico",,
DLG.SARA.COLE.01,Hola. Soy Sara. He contado las manzanas antes que tú. Pero bien hecho.,"19. Tu generación: Nico, Sara y Omar · Sara",,
DLG.SARA.CIENCIA.01,"Si hacemos juntos el volcán, ganamos seguro. Tú pones la pintura, yo la química.","19. Tu generación: Nico, Sara y Omar · Sara",,
DLG.OMAR.COCINA.01,¿Tienes hambre? Te enseño mi tostada secreta. El secreto es… ¡más tomate!,"19. Tu generación: Nico, Sara y Omar · Omar",,
DLG.OMAR.ADULTO.01,"¡Mira! Mi food truck. Si algún día necesitas trabajo, aquí siempre hay sitio para ti.","19. Tu generación: Nico, Sara y Omar · Omar",,
DLG.AMB.MANANA.01,"¡Llego tarde, llego tarde!",20. Frases de ambiente (NPC anónimos) · Mañana,,
DLG.AMB.MANANA.02,"Un café primero, luego el mundo.",20. Frases de ambiente (NPC anónimos) · Mañana,,
DLG.AMB.LLUVIA.01,¡Y yo sin paraguas!,20. Frases de ambiente (NPC anónimos) · Lluvia,,
DLG.AMB.PLAYA.01,¿Nos damos un chapuzón?,20. Frases de ambiente (NPC anónimos) · Playa Dorada,,
DLG.AMB.PARTIDO.01,"¡Hoy ganamos, lo presiento!",20. Frases de ambiente (NPC anónimos) · Día de partido,,
DLG.AMB.MERCADO.01,¿Has visto qué precio tienen hoy las fresas?,20. Frases de ambiente (NPC anónimos) · San Roque,,
DLG.AMB.VALLE.01,Huele a tierra mojada. Qué gusto.,20. Frases de ambiente (NPC anónimos) · Villaverde,,
DLG.AMB.CAMPUS.01,¡Mañana tengo examen y no he abierto el libro!,20. Frases de ambiente (NPC anónimos) · Campus Valmar,,
DLG.AMB.FINANCIERO.01,La reunión se ha alargado otra vez…,20. Frases de ambiente (NPC anónimos) · Distrito Financiero,,
DLG.AMB.FARO.01,¿Has visto el faro? ¡Qué bonito está de noche!,20. Frases de ambiente (NPC anónimos) · Tras encender el faro,,
